"DiffPos","S1","S2","Contrast","PhonX","FeatX"
"CV","nap","pap","nap-pap","n-p","multi"
"CV","nap","rap","nap-rap","n-r","man_son"
"CV","nap","sap","nap-sap","n-s","multi"
"CV","nap","Sap","nap-Sap","n-S","multi"
"CV","nap","tap","nap-tap","n-t","multi"
"CV","nap","Tap","nap-Tap","n-T","multi"
"CV","nap","vap","nap-vap","n-v","multi"
"CV","nap","zap","nap-zap","n-z","multi"
"CV","nib","pib","nib-pib","n-p","multi"
"CV","nib","rib","nib-rib","n-r","man_son"
"CV","nib","sib","nib-sib","n-s","multi"
"CV","nib","Sib","nib-Sib","n-S","multi"
"CV","nib","tib","nib-tib","n-t","multi"
"CV","nib","Tib","nib-Tib","n-T","multi"
"CV","nib","vib","nib-vib","n-v","multi"
"CV","nib","zib","nib-zib","n-z","multi"
"CV","nip","pip","nip-pip","n-p","multi"
"CV","nip","rip","nip-rip","n-r","man_son"
"CV","nip","sip","nip-sip","n-s","multi"
"CV","nip","Sip","nip-Sip","n-S","multi"
"CV","nip","tip","nip-tip","n-t","multi"
"CV","nip","Tip","nip-Tip","n-T","multi"
"CV","nip","vip","nip-vip","n-v","multi"
"CV","nip","zip","nip-zip","n-z","multi"
"CV","nub","pub","nub-pub","n-p","multi"
"CV","nub","rub","nub-rub","n-r","man_son"
"CV","nub","Sub","nub-Sub","n-S","multi"
"CV","nub","sub","nub-sub","n-s","multi"
"CV","nub","Tub","nub-Tub","n-T","multi"
"CV","nub","tub","nub-tub","n-t","multi"
"CV","nub","vub","nub-vub","n-v","multi"
"CV","nub","zub","nub-zub","n-z","multi"
"CV","nup","pup","nup-pup","n-p","multi"
"CV","nup","rup","nup-rup","n-r","man_son"
"CV","nup","Sup","nup-Sup","n-S","multi"
"CV","nup","sup","nup-sup","n-s","multi"
"CV","nup","Tup","nup-Tup","n-T","multi"
"CV","nup","tup","nup-tup","n-t","multi"
"CV","nup","vup","nup-vup","n-v","multi"
"CV","nup","zup","nup-zup","n-z","multi"
"CV","pab","rab","pab-rab","p-r","multi"
"CV","pab","sab","pab-sab","p-s","manXplc_obs"
"CV","pab","Sab","pab-Sab","p-S","manXplc_obs"
"CV","pab","tab","pab-tab","p-t","plc_plos"
"CV","pab","Tab","pab-Tab","p-T","manXplc_obs"
"CV","pab","vab","pab-vab","p-v","voiXman"
"CV","pab","zab","pab-zab","p-z","multi"
"CV","pap","rap","pap-rap","p-r","multi"
"CV","pap","sap","pap-sap","p-s","manXplc_obs"
"CV","pap","Sap","pap-Sap","p-S","manXplc_obs"
"CV","pap","tap","pap-tap","p-t","plc_plos"
"CV","pap","Tap","pap-Tap","p-T","manXplc_obs"
"CV","pap","vap","pap-vap","p-v","voiXman"
"CV","pap","zap","pap-zap","p-z","multi"
"CV","pib","rib","pib-rib","p-r","multi"
"CV","pib","sib","pib-sib","p-s","manXplc_obs"
"CV","pib","Sib","pib-Sib","p-S","manXplc_obs"
"CV","pib","tib","pib-tib","p-t","plc_plos"
"CV","pib","Tib","pib-Tib","p-T","manXplc_obs"
"CV","pib","vib","pib-vib","p-v","voiXman"
"CV","pib","zib","pib-zib","p-z","multi"
"CV","pip","rip","pip-rip","p-r","multi"
"CV","pip","sip","pip-sip","p-s","manXplc_obs"
"CV","pip","Sip","pip-Sip","p-S","manXplc_obs"
"CV","pip","tip","pip-tip","p-t","plc_plos"
"CV","pip","Tip","pip-Tip","p-T","manXplc_obs"
"CV","pip","vip","pip-vip","p-v","voiXman"
"CV","pip","zip","pip-zip","p-z","multi"
"CV","pub","rub","pub-rub","p-r","multi"
"CV","pub","Sub","pub-Sub","p-S","manXplc_obs"
"CV","pub","sub","pub-sub","p-s","manXplc_obs"
"CV","pub","Tub","pub-Tub","p-T","manXplc_obs"
"CV","pub","tub","pub-tub","p-t","plc_plos"
"CV","pub","vub","pub-vub","p-v","voiXman"
"CV","pub","zub","pub-zub","p-z","multi"
"CV","pup","rup","pup-rup","p-r","multi"
"CV","pup","Sup","pup-Sup","p-S","manXplc_obs"
"CV","pup","sup","pup-sup","p-s","manXplc_obs"
"CV","pup","Tup","pup-Tup","p-T","manXplc_obs"
"CV","pup","tup","pup-tup","p-t","plc_plos"
"CV","pup","vup","pup-vup","p-v","voiXman"
"CV","pup","zup","pup-zup","p-z","multi"
"CV","rab","sab","rab-sab","r-s","multi"
"CV","rab","Sab","rab-Sab","r-S","multi"
"CV","rab","tab","rab-tab","r-t","multi"
"CV","rab","Tab","rab-Tab","r-T","multi"
"CV","rab","vab","rab-vab","r-v","multi"
"CV","rab","zab","rab-zab","r-z","multi"
"CV","rap","sap","rap-sap","r-s","multi"
"CV","rap","Sap","rap-Sap","r-S","multi"
"CV","rap","tap","rap-tap","r-t","multi"
"CV","rap","Tap","rap-Tap","r-T","multi"
"CV","rap","vap","rap-vap","r-v","multi"
"CV","rap","zap","rap-zap","r-z","multi"
"CV","rib","sib","rib-sib","r-s","multi"
"CV","rib","Sib","rib-Sib","r-S","multi"
"CV","rib","tib","rib-tib","r-t","multi"
"CV","rib","Tib","rib-Tib","r-T","multi"
"CV","rib","vib","rib-vib","r-v","multi"
"CV","rib","zib","rib-zib","r-z","multi"
"CV","rip","sip","rip-sip","r-s","multi"
"CV","rip","Sip","rip-Sip","r-S","multi"
"CV","rip","tip","rip-tip","r-t","multi"
"CV","rip","Tip","rip-Tip","r-T","multi"
"CV","rip","vip","rip-vip","r-v","multi"
"CV","rip","zip","rip-zip","r-z","multi"
"CV","rub","Sub","rub-Sub","r-S","multi"
"CV","rub","sub","rub-sub","r-s","multi"
"CV","rub","Tub","rub-Tub","r-T","multi"
"CV","rub","tub","rub-tub","r-t","multi"
"CV","rub","vub","rub-vub","r-v","multi"
"CV","rub","zub","rub-zub","r-z","multi"
"CV","rup","Sup","rup-Sup","r-S","multi"
"CV","rup","sup","rup-sup","r-s","multi"
"CV","rup","Tup","rup-Tup","r-T","multi"
"CV","rup","tup","rup-tup","r-t","multi"
"CV","rup","vup","rup-vup","r-v","multi"
"CV","rup","zup","rup-zup","r-z","multi"
"CV","sab","Sab","sab-Sab","s-S","plc_fric"
"CV","sab","tab","sab-tab","s-t","man_obs"
"CV","sab","Tab","sab-Tab","s-T","plc_fric"
"CV","sab","vab","sab-vab","s-v","voiXplc"
"CV","sab","zab","sab-zab","s-z","voi_fric"
"CV","sap","Sap","sap-Sap","s-S","plc_fric"
"CV","sap","tap","sap-tap","s-t","man_obs"
"CV","sap","Tap","sap-Tap","s-T","plc_fric"
"CV","sap","vap","sap-vap","s-v","voiXplc"
"CV","sap","zap","sap-zap","s-z","voi_fric"
"CV","sib","Sib","sib-Sib","s-S","plc_fric"
"CV","sib","tib","sib-tib","s-t","man_obs"
"CV","sib","Tib","sib-Tib","s-T","plc_fric"
"CV","sib","vib","sib-vib","s-v","voiXplc"
"CV","sib","zib","sib-zib","s-z","voi_fric"
"CV","sip","Sip","sip-Sip","s-S","plc_fric"
"CV","sip","tip","sip-tip","s-t","man_obs"
"CV","sip","Tip","sip-Tip","s-T","plc_fric"
"CV","sip","vip","sip-vip","s-v","voiXplc"
"CV","sip","zip","sip-zip","s-z","voi_fric"
"CV","Sab","tab","Sab-tab","S-t","manXplc_obs"
"CV","Sab","Tab","Sab-Tab","S-T","plc_fric"
"CV","Sab","vab","Sab-vab","S-v","voiXplc"
"CV","Sab","zab","Sab-zab","S-z","voiXplc"
"CV","Sap","tap","Sap-tap","S-t","manXplc_obs"
"CV","Sap","Tap","Sap-Tap","S-T","plc_fric"
"CV","Sap","vap","Sap-vap","S-v","voiXplc"
"CV","Sap","zap","Sap-zap","S-z","voiXplc"
"CV","Sib","tib","Sib-tib","S-t","manXplc_obs"
"CV","Sib","Tib","Sib-Tib","S-T","plc_fric"
"CV","Sib","vib","Sib-vib","S-v","voiXplc"
"CV","Sib","zib","Sib-zib","S-z","voiXplc"
"CV","Sip","tip","Sip-tip","S-t","manXplc_obs"
"CV","Sip","Tip","Sip-Tip","S-T","plc_fric"
"CV","Sip","vip","Sip-vip","S-v","voiXplc"
"CV","Sip","zip","Sip-zip","S-z","voiXplc"
"CV","Sub","sub","sub-Sub","s-S","plc_fric"
"CV","Sub","Tub","Sub-Tub","S-T","plc_fric"
"CV","Sub","tub","Sub-tub","S-t","manXplc_obs"
"CV","Sub","vub","Sub-vub","S-v","voiXplc"
"CV","Sub","zub","Sub-zub","S-z","voiXplc"
"CV","Sup","sup","sup-Sup","s-S","plc_fric"
"CV","Sup","Tup","Sup-Tup","S-T","plc_fric"
"CV","Sup","tup","Sup-tup","S-t","manXplc_obs"
"CV","Sup","vup","Sup-vup","S-v","voiXplc"
"CV","Sup","zup","Sup-zup","S-z","voiXplc"
"CV","sub","Tub","sub-Tub","s-T","plc_fric"
"CV","sub","tub","sub-tub","s-t","man_obs"
"CV","sub","vub","sub-vub","s-v","voiXplc"
"CV","sub","zub","sub-zub","s-z","voi_fric"
"CV","sup","Tup","sup-Tup","s-T","plc_fric"
"CV","sup","tup","sup-tup","s-t","man_obs"
"CV","sup","vup","sup-vup","s-v","voiXplc"
"CV","sup","zup","sup-zup","s-z","voi_fric"
"CV","tab","Tab","tab-Tab","t-T","manXplc_obs"
"CV","tab","vab","tab-vab","t-v","multi"
"CV","tab","zab","tab-zab","t-z","voiXman"
"CV","tap","Tap","tap-Tap","t-T","manXplc_obs"
"CV","tap","vap","tap-vap","t-v","multi"
"CV","tap","zap","tap-zap","t-z","voiXman"
"CV","tib","Tib","tib-Tib","t-T","manXplc_obs"
"CV","tib","vib","tib-vib","t-v","multi"
"CV","tib","zib","tib-zib","t-z","voiXman"
"CV","tip","Tip","tip-Tip","t-T","manXplc_obs"
"CV","tip","vip","tip-vip","t-v","multi"
"CV","tip","zip","tip-zip","t-z","voiXman"
"CV","Tab","vab","Tab-vab","T-v","voiXplc"
"CV","Tab","zab","Tab-zab","T-z","voiXplc"
"CV","Tap","vap","Tap-vap","T-v","voiXplc"
"CV","Tap","zap","Tap-zap","T-z","voiXplc"
"CV","Tib","vib","Tib-vib","T-v","voiXplc"
"CV","Tib","zib","Tib-zib","T-z","voiXplc"
"CV","Tip","vip","Tip-vip","T-v","voiXplc"
"CV","Tip","zip","Tip-zip","T-z","voiXplc"
"CV","Tub","tub","tub-Tub","t-T","manXplc_obs"
"CV","Tub","vub","Tub-vub","T-v","voiXplc"
"CV","Tub","zub","Tub-zub","T-z","voiXplc"
"CV","Tup","tup","tup-Tup","t-T","manXplc_obs"
"CV","Tup","vup","Tup-vup","T-v","voiXplc"
"CV","Tup","zup","Tup-zup","T-z","voiXplc"
"CV","tub","vub","tub-vub","t-v","multi"
"CV","tub","zub","tub-zub","t-z","voiXman"
"CV","tup","vup","tup-vup","t-v","multi"
"CV","tup","zup","tup-zup","t-z","voiXman"
"CV","vab","zab","vab-zab","v-z","plc_fric"
"CV","vap","zap","vap-zap","v-z","plc_fric"
"CV","vib","zib","vib-zib","v-z","plc_fric"
"CV","vip","zip","vip-zip","v-z","plc_fric"
"CV","vub","zub","vub-zub","v-z","plc_fric"
"CV","vup","zup","vup-zup","v-z","plc_fric"
"V","bab","bib","bab-bib","a-i","plc_vwl"
"V","bab","bub","bab-bub","a-u","plc_vwl"
"V","bad","bid","bad-bid","a-i","plc_vwl"
"V","bad","bud","bad-bud","a-u","plc_vwl"
"V","bag","big","bag-big","a-i","plc_vwl"
"V","bag","bug","bag-bug","a-u","plc_vwl"
"V","bak","bik","bak-bik","a-i","plc_vwl"
"V","bak","buk","bak-buk","a-u","plc_vwl"
"V","bap","bip","bap-bip","a-i","plc_vwl"
"V","bap","bup","bap-bup","a-u","plc_vwl"
"V","bat","bit","bat-bit","a-i","plc_vwl"
"V","bat","but","bat-but","a-u","plc_vwl"
"V","bib","bub","bib-bub","i-u","plc_vwl"
"V","bid","bud","bid-bud","i-u","plc_vwl"
"V","big","bug","big-bug","i-u","plc_vwl"
"V","bik","buk","bik-buk","i-u","plc_vwl"
"V","bip","bup","bip-bup","i-u","plc_vwl"
"V","bit","but","bit-but","i-u","plc_vwl"
"V","dab","dib","dab-dib","a-i","plc_vwl"
"V","dab","dub","dab-dub","a-u","plc_vwl"
"V","dad","did","dad-did","a-i","plc_vwl"
"V","dad","dud","dad-dud","a-u","plc_vwl"
"V","dag","dig","dag-dig","a-i","plc_vwl"
"V","dag","dug","dag-dug","a-u","plc_vwl"
"V","dak","dik","dak-dik","a-i","plc_vwl"
"V","dak","duk","dak-duk","a-u","plc_vwl"
"V","dap","dip","dap-dip","a-i","plc_vwl"
"V","dap","dup","dap-dup","a-u","plc_vwl"
"V","dat","dit","dat-dit","a-i","plc_vwl"
"V","dat","dut","dat-dut","a-u","plc_vwl"
"V","dib","dub","dib-dub","i-u","plc_vwl"
"V","did","dud","did-dud","i-u","plc_vwl"
"V","dig","dug","dig-dug","i-u","plc_vwl"
"V","dik","duk","dik-duk","i-u","plc_vwl"
"V","dip","dup","dip-dup","i-u","plc_vwl"
"V","dit","dut","dit-dut","i-u","plc_vwl"
"V","gab","gib","gab-gib","a-i","plc_vwl"
"V","gab","gub","gab-gub","a-u","plc_vwl"
"V","gad","gid","gad-gid","a-i","plc_vwl"
"V","gad","gud","gad-gud","a-u","plc_vwl"
"V","gag","gig","gag-gig","a-i","plc_vwl"
"V","gag","gug","gag-gug","a-u","plc_vwl"
"V","gak","gik","gak-gik","a-i","plc_vwl"
"V","gak","guk","gak-guk","a-u","plc_vwl"
"V","gap","gip","gap-gip","a-i","plc_vwl"
"V","gap","gup","gap-gup","a-u","plc_vwl"
"V","gat","git","gat-git","a-i","plc_vwl"
"V","gat","gut","gat-gut","a-u","plc_vwl"
"V","gib","gub","gib-gub","i-u","plc_vwl"
"V","gid","gud","gid-gud","i-u","plc_vwl"
"V","gig","gug","gig-gug","i-u","plc_vwl"
"V","gik","guk","gik-guk","i-u","plc_vwl"
"V","gip","gup","gip-gup","i-u","plc_vwl"
"V","git","gut","git-gut","i-u","plc_vwl"
"V","kab","kib","kab-kib","a-i","plc_vwl"
"V","kab","kub","kab-kub","a-u","plc_vwl"
"V","kad","kid","kad-kid","a-i","plc_vwl"
"V","kad","kud","kad-kud","a-u","plc_vwl"
"V","kag","kig","kag-kig","a-i","plc_vwl"
"V","kag","kug","kag-kug","a-u","plc_vwl"
"V","kak","kik","kak-kik","a-i","plc_vwl"
"V","kak","kuk","kak-kuk","a-u","plc_vwl"
"V","kap","kip","kap-kip","a-i","plc_vwl"
"V","kap","kup","kap-kup","a-u","plc_vwl"
"V","kat","kit","kat-kit","a-i","plc_vwl"
"V","kat","kut","kat-kut","a-u","plc_vwl"
"V","kib","kub","kib-kub","i-u","plc_vwl"
"V","kid","kud","kid-kud","i-u","plc_vwl"
"V","kig","kug","kig-kug","i-u","plc_vwl"
"V","kik","kuk","kik-kuk","i-u","plc_vwl"
"V","kip","kup","kip-kup","i-u","plc_vwl"
"V","kit","kut","kit-kut","i-u","plc_vwl"
"V","pab","pib","pab-pib","a-i","plc_vwl"
"V","pab","pub","pab-pub","a-u","plc_vwl"
"V","pad","pid","pad-pid","a-i","plc_vwl"
"V","pad","pud","pad-pud","a-u","plc_vwl"
"V","pag","pig","pag-pig","a-i","plc_vwl"
"V","pag","pug","pag-pug","a-u","plc_vwl"
"V","pak","pik","pak-pik","a-i","plc_vwl"
"V","pak","puk","pak-puk","a-u","plc_vwl"
"V","pap","pip","pap-pip","a-i","plc_vwl"
"V","pap","pup","pap-pup","a-u","plc_vwl"
"V","pat","pit","pat-pit","a-i","plc_vwl"
"V","pat","put","pat-put","a-u","plc_vwl"
"V","pib","pub","pib-pub","i-u","plc_vwl"
"V","pid","pud","pid-pud","i-u","plc_vwl"
"V","pig","pug","pig-pug","i-u","plc_vwl"
"V","pik","puk","pik-puk","i-u","plc_vwl"
"V","pip","pup","pip-pup","i-u","plc_vwl"
"V","pit","put","pit-put","i-u","plc_vwl"
"V","tab","tib","tab-tib","a-i","plc_vwl"
"V","tab","tub","tab-tub","a-u","plc_vwl"
"V","tad","tid","tad-tid","a-i","plc_vwl"
"V","tad","tud","tad-tud","a-u","plc_vwl"
"V","tag","tig","tag-tig","a-i","plc_vwl"
"V","tag","tug","tag-tug","a-u","plc_vwl"
"V","tak","tik","tak-tik","a-i","plc_vwl"
"V","tak","tuk","tak-tuk","a-u","plc_vwl"
"V","tap","tip","tap-tip","a-i","plc_vwl"
"V","tap","tup","tap-tup","a-u","plc_vwl"
"V","tat","tit","tat-tit","a-i","plc_vwl"
"V","tat","tut","tat-tut","a-u","plc_vwl"
"V","tib","tub","tib-tub","i-u","plc_vwl"
"V","tid","tud","tid-tud","i-u","plc_vwl"
"V","tig","tug","tig-tug","i-u","plc_vwl"
"V","tik","tuk","tik-tuk","i-u","plc_vwl"
"V","tip","tup","tip-tup","i-u","plc_vwl"
"V","tit","tut","tit-tut","i-u","plc_vwl"
"VC","bab","bac","bab-bac","b-c","multi"
"VC","bab","bad","bab-bad","b-d","plc_plos"
"VC","bab","baD","bab-baD","b-D","manXplc_obs"
"VC","bab","baf","bab-baf","b-f","voiXman"
"VC","bab","bag","bab-bag","b-g","plc_plos"
"VC","bab","baj","bab-baj","b-j","manXplc_obs"
"VC","bab","bak","bab-bak","b-k","voiXplc"
"VC","bab","bal","bab-bal","b-l","multi"
"VC","bab","bam","bab-bam","b-m","nasXson"
"VC","bab","ban","bab-ban","b-n","multi"
"VC","bab","baN","bab-baN","b-N","multi"
"VC","bab","bap","bab-bap","b-p","voi_plos"
"VC","bab","bar","bab-bar","b-r","multi"
"VC","bab","bas","bab-bas","b-s","multi"
"VC","bab","baS","bab-baS","b-S","multi"
"VC","bab","bat","bab-bat","b-t","voiXplc"
"VC","bab","baT","bab-baT","b-T","multi"
"VC","bab","bav","bab-bav","b-v","man_obs"
"VC","bab","baz","bab-baz","b-z","manXplc_obs"
"VC","bac","bad","bac-bad","c-d","multi"
"VC","bac","baD","bac-baD","c-D","multi"
"VC","bac","baf","bac-baf","c-f","manXplc_obs"
"VC","bac","bag","bac-bag","c-g","multi"
"VC","bac","baj","bac-baj","c-j","voi_aff"
"VC","bac","bak","bac-bak","c-k","manXplc_obs"
"VC","bac","bal","bac-bal","c-l","multi"
"VC","bac","bam","bac-bam","c-m","multi"
"VC","bac","ban","bac-ban","c-n","multi"
"VC","bac","baN","bac-baN","c-N","multi"
"VC","bac","bap","bac-bap","c-p","manXplc_obs"
"VC","bac","bar","bac-bar","c-r","multi"
"VC","bac","bas","bac-bas","c-s","manXplc_obs"
"VC","bac","baS","bac-baS","c-S","man_obs"
"VC","bac","bat","bac-bat","c-t","manXplc_obs"
"VC","bac","baT","bac-baT","c-T","manXplc_obs"
"VC","bac","bav","bac-bav","c-v","multi"
"VC","bac","baz","bac-baz","c-z","multi"
"VC","bad","baD","bad-baD","d-D","manXplc_obs"
"VC","bad","baf","bad-baf","d-f","multi"
"VC","bad","bag","bad-bag","d-g","plc_plos"
"VC","bad","baj","bad-baj","d-j","manXplc_obs"
"VC","bad","bak","bad-bak","d-k","voiXplc"
"VC","bad","bal","bad-bal","d-l","multi"
"VC","bad","bam","bad-bam","d-m","multi"
"VC","bad","ban","bad-ban","d-n","nasXson"
"VC","bad","baN","bad-baN","d-N","multi"
"VC","bad","bap","bad-bap","d-p","voiXplc"
"VC","bad","bar","bad-bar","d-r","multi"
"VC","bad","bas","bad-bas","d-s","voiXman"
"VC","bad","baS","bad-baS","d-S","multi"
"VC","bad","bat","bad-bat","d-t","voi_plos"
"VC","bad","baT","bad-baT","d-T","multi"
"VC","bad","bav","bad-bav","d-v","manXplc_obs"
"VC","bad","baz","bad-baz","d-z","man_obs"
"VC","baD","baf","baD-baf","D-f","voiXplc"
"VC","baD","bag","baD-bag","D-g","manXplc_obs"
"VC","baD","baj","baD-baj","D-j","manXplc_obs"
"VC","baD","bak","baD-bak","D-k","multi"
"VC","baD","bal","baD-bal","D-l","multi"
"VC","baD","bam","baD-bam","D-m","multi"
"VC","baD","ban","baD-ban","D-n","multi"
"VC","baD","baN","baD-baN","D-N","multi"
"VC","baD","bap","baD-bap","D-p","multi"
"VC","baD","bar","baD-bar","D-r","multi"
"VC","baD","bas","baD-bas","D-s","voiXplc"
"VC","baD","baS","baD-baS","D-S","voiXplc"
"VC","baD","bat","baD-bat","D-t","voiXman"
"VC","baD","baT","baD-baT","D-T","voi_fric"
"VC","baD","bav","baD-bav","D-v","plc_fric"
"VC","baD","baz","baD-baz","D-z","plc_fric"
"VC","baf","bag","baf-bag","f-g","multi"
"VC","baf","baj","baf-baj","f-j","multi"
"VC","baf","bak","baf-bak","f-k","manXplc_obs"
"VC","baf","bal","baf-bal","f-l","multi"
"VC","baf","bam","baf-bam","f-m","multi"
"VC","baf","ban","baf-ban","f-n","multi"
"VC","baf","baN","baf-baN","f-N","multi"
"VC","baf","bap","baf-bap","f-p","man_obs"
"VC","baf","bar","baf-bar","f-r","multi"
"VC","baf","bas","baf-bas","f-s","plc_fric"
"VC","baf","baS","baf-baS","f-S","plc_fric"
"VC","baf","bat","baf-bat","f-t","manXplc_obs"
"VC","baf","baT","baf-baT","f-T","plc_fric"
"VC","baf","bav","baf-bav","f-v","voi_fric"
"VC","baf","baz","baf-baz","f-z","voiXplc"
"VC","bag","baj","bag-baj","g-j","manXplc_obs"
"VC","bag","bak","bag-bak","g-k","voi_plos"
"VC","bag","bal","bag-bal","g-l","multi"
"VC","bag","bam","bag-bam","g-m","multi"
"VC","bag","ban","bag-ban","g-n","multi"
"VC","bag","baN","bag-baN","g-N","nasXson"
"VC","bag","bap","bag-bap","g-p","voiXplc"
"VC","bag","bar","bag-bar","g-r","multi"
"VC","bag","bas","bag-bas","g-s","multi"
"VC","bag","baS","bag-baS","g-S","multi"
"VC","bag","bat","bag-bat","g-t","voiXplc"
"VC","bag","baT","bag-baT","g-T","multi"
"VC","bag","bav","bag-bav","g-v","manXplc_obs"
"VC","bag","baz","bag-baz","g-z","manXplc_obs"
"VC","baj","bak","baj-bak","j-k","multi"
"VC","baj","bal","baj-bal","j-l","multi"
"VC","baj","bam","baj-bam","j-m","multi"
"VC","baj","ban","baj-ban","j-n","multi"
"VC","baj","baN","baj-baN","j-N","multi"
"VC","baj","bap","baj-bap","j-p","multi"
"VC","baj","bar","baj-bar","j-r","multi"
"VC","baj","bas","baj-bas","j-s","multi"
"VC","baj","baS","baj-baS","j-S","voiXman"
"VC","baj","bat","baj-bat","j-t","voiXman"
"VC","baj","baT","baj-baT","j-T","multi"
"VC","baj","bav","baj-bav","j-v","manXplc_obs"
"VC","baj","baz","baj-baz","j-z","manXplc_obs"
"VC","bak","bal","bak-bal","k-l","multi"
"VC","bak","bam","bak-bam","k-m","multi"
"VC","bak","ban","bak-ban","k-n","multi"
"VC","bak","baN","bak-baN","k-N","multi"
"VC","bak","bap","bak-bap","k-p","plc_plos"
"VC","bak","bar","bak-bar","k-r","multi"
"VC","bak","bas","bak-bas","k-s","manXplc_obs"
"VC","bak","baS","bak-baS","k-S","manXplc_obs"
"VC","bak","bat","bak-bat","k-t","plc_plos"
"VC","bak","baT","bak-baT","k-T","manXplc_obs"
"VC","bak","bav","bak-bav","k-v","multi"
"VC","bak","baz","bak-baz","k-z","multi"
"VC","bal","bam","bal-bam","l-m","manXplc_son"
"VC","bal","ban","bal-ban","l-n","nasXlat"
"VC","bal","baN","bal-baN","l-N","manXplc_son"
"VC","bal","bap","bal-bap","l-p","multi"
"VC","bal","bar","bal-bar","l-r","man_son"
"VC","bal","bas","bal-bas","l-s","multi"
"VC","bal","baS","bal-baS","l-S","multi"
"VC","bal","bat","bal-bat","l-t","multi"
"VC","bal","baT","bal-baT","l-T","multi"
"VC","bal","bav","bal-bav","l-v","multi"
"VC","bal","baz","bal-baz","l-z","multi"
"VC","bam","ban","bam-ban","m-n","plc_nas"
"VC","bam","baN","bam-baN","m-N","plc_nas"
"VC","bam","bap","bam-bap","m-p","multi"
"VC","bam","bar","bam-bar","m-r","manXplc_son"
"VC","bam","bas","bam-bas","m-s","multi"
"VC","bam","baS","bam-baS","m-S","multi"
"VC","bam","bat","bam-bat","m-t","multi"
"VC","bam","baT","bam-baT","m-T","multi"
"VC","bam","bav","bam-bav","m-v","multi"
"VC","bam","baz","bam-baz","m-z","multi"
"VC","ban","baN","ban-baN","n-N","plc_nas"
"VC","ban","bap","ban-bap","n-p","multi"
"VC","ban","bar","ban-bar","n-r","man_son"
"VC","ban","bas","ban-bas","n-s","multi"
"VC","ban","baS","ban-baS","n-S","multi"
"VC","ban","bat","ban-bat","n-t","multi"
"VC","ban","baT","ban-baT","n-T","multi"
"VC","ban","bav","ban-bav","n-v","multi"
"VC","ban","baz","ban-baz","n-z","multi"
"VC","baN","bap","baN-bap","N-p","multi"
"VC","baN","bar","baN-bar","N-r","manXplc_son"
"VC","baN","bas","baN-bas","N-s","multi"
"VC","baN","baS","baN-baS","N-S","multi"
"VC","baN","bat","baN-bat","N-t","multi"
"VC","baN","baT","baN-baT","N-T","multi"
"VC","baN","bav","baN-bav","N-v","multi"
"VC","baN","baz","baN-baz","N-z","multi"
"VC","bap","bar","bap-bar","p-r","multi"
"VC","bap","bas","bap-bas","p-s","manXplc_obs"
"VC","bap","baS","bap-baS","p-S","manXplc_obs"
"VC","bap","bat","bap-bat","p-t","plc_plos"
"VC","bap","baT","bap-baT","p-T","manXplc_obs"
"VC","bap","bav","bap-bav","p-v","voiXman"
"VC","bap","baz","bap-baz","p-z","multi"
"VC","bar","bas","bar-bas","r-s","multi"
"VC","bar","baS","bar-baS","r-S","multi"
"VC","bar","bat","bar-bat","r-t","multi"
"VC","bar","baT","bar-baT","r-T","multi"
"VC","bar","bav","bar-bav","r-v","multi"
"VC","bar","baz","bar-baz","r-z","multi"
"VC","bas","baS","bas-baS","s-S","plc_fric"
"VC","bas","bat","bas-bat","s-t","man_obs"
"VC","bas","baT","bas-baT","s-T","plc_fric"
"VC","bas","bav","bas-bav","s-v","voiXplc"
"VC","bas","baz","bas-baz","s-z","voi_fric"
"VC","baS","bat","baS-bat","S-t","manXplc_obs"
"VC","baS","baT","baS-baT","S-T","plc_fric"
"VC","baS","bav","baS-bav","S-v","voiXplc"
"VC","baS","baz","baS-baz","S-z","voiXplc"
"VC","bat","baT","bat-baT","t-T","manXplc_obs"
"VC","bat","bav","bat-bav","t-v","multi"
"VC","bat","baz","bat-baz","t-z","voiXman"
"VC","baT","bav","baT-bav","T-v","voiXplc"
"VC","baT","baz","baT-baz","T-z","voiXplc"
"VC","bav","baz","bav-baz","v-z","plc_fric"
"VC","bib","bic","bib-bic","b-c","multi"
"VC","bib","bid","bib-bid","b-d","plc_plos"
"VC","bib","biD","bib-biD","b-D","manXplc_obs"
"VC","bib","bif","bib-bif","b-f","voiXman"
"VC","bib","big","bib-big","b-g","plc_plos"
"VC","bib","bij","bib-bij","b-j","manXplc_obs"
"VC","bib","bik","bib-bik","b-k","voiXplc"
"VC","bib","bil","bib-bil","b-l","multi"
"VC","bib","bim","bib-bim","b-m","nasXson"
"VC","bib","bin","bib-bin","b-n","multi"
"VC","bib","biN","bib-biN","b-N","multi"
"VC","bib","bip","bib-bip","b-p","voi_plos"
"VC","bib","bir","bib-bir","b-r","multi"
"VC","bib","bis","bib-bis","b-s","multi"
"VC","bib","biS","bib-biS","b-S","multi"
"VC","bib","bit","bib-bit","b-t","voiXplc"
"VC","bib","biT","bib-biT","b-T","multi"
"VC","bib","biv","bib-biv","b-v","man_obs"
"VC","bib","biz","bib-biz","b-z","manXplc_obs"
"VC","bic","bid","bic-bid","c-d","multi"
"VC","bic","biD","bic-biD","c-D","multi"
"VC","bic","bif","bic-bif","c-f","manXplc_obs"
"VC","bic","big","bic-big","c-g","multi"
"VC","bic","bij","bic-bij","c-j","voi_aff"
